Timestamp,Probe 1,Probe 2,Probe 3,Probe 4
2021-02-04 21:46:58.784574,70,11826,11826,11826
2021-02-04 21:46:59.173562,70,11826,11826,11826
2021-02-04 21:47:00.344084,70,11826,11826,11826
2021-02-04 21:47:01.514075,70,11826,11826,11826
2021-02-04 21:47:02.294282,70,11826,11826,11826
2021-02-04 21:47:03.463773,70,11826,11826,11826
2021-02-04 21:47:04.243271,70,11826,11826,11826
2021-02-04 21:47:05.414237,70,11826,11826,11826
2021-02-04 21:47:06.194405,70,11826,11826,11826
2021-02-04 21:47:07.364278,70,11826,11826,11826
2021-02-04 21:47:08.534494,72,11826,11826,11826
2021-02-04 21:47:09.314274,72,11826,11826,11826
2021-02-04 21:47:10.484222,72,11826,11826,11826
2021-02-04 21:47:11.264536,72,11826,11826,11826
2021-02-04 21:47:12.434267,73,11826,11826,11826
2021-02-04 21:47:13.214248,73,11826,11826,11826
2021-02-04 21:47:14.384024,75,11826,11826,11826
2021-02-04 21:47:15.164096,75,11826,11826,11826
2021-02-04 21:47:16.334438,75,11826,11826,11826
2021-02-04 21:47:17.504041,77,11826,11826,11826
2021-02-04 21:47:18.284502,77,11826,11826,11826
2021-02-04 21:47:19.454567,77,11826,11826,11826
2021-02-04 21:47:20.234822,77,11826,11826,11826
2021-02-04 21:47:21.404678,79,11826,11826,11826
2021-02-04 21:47:22.184766,79,11826,11826,11826
2021-02-04 21:47:23.354279,79,11826,11826,11826
2021-02-04 21:47:24.524703,79,11826,11826,11826
2021-02-04 21:47:25.304722,79,11826,11826,11826
2021-02-04 21:47:26.474919,79,11826,11826,11826
2021-02-04 21:47:27.254926,79,11826,11826,11826
2021-02-04 21:47:28.424776,79,11826,11826,11826
2021-02-04 21:47:29.204853,79,11826,11826,11826
2021-02-04 21:47:30.374818,79,11826,11826,11826
2021-02-04 21:47:31.544497,79,11826,11826,11826
2021-02-04 21:47:32.324538,79,11826,11826,11826
2021-02-04 21:47:33.494875,79,11826,11826,11826
2021-02-04 21:47:34.274963,79,11826,11826,11826
2021-02-04 21:47:35.445083,79,11826,11826,11826
2021-02-04 21:47:36.225037,79,11826,11826,11826
2021-02-04 21:47:37.394897,79,11826,11826,11826
2021-02-04 21:47:38.174971,79,11826,11826,11826
2021-02-04 21:47:39.345133,79,11826,11826,11826
2021-02-04 21:47:40.515043,79,11826,11826,11826
2021-02-04 21:47:41.295162,79,11826,11826,11826
2021-02-04 21:47:42.465343,79,11826,11826,11826
2021-02-04 21:47:43.245074,79,11826,11826,11826
2021-02-04 21:47:44.414848,79,11826,11826,11826
2021-02-04 21:47:45.584986,79,11826,11826,11826
2021-02-04 21:47:46.364847,79,11826,11826,11826
2021-02-04 21:47:47.535254,79,11826,11826,11826
2021-02-04 21:47:48.315296,79,11826,11826,11826
2021-02-04 21:47:49.485451,79,11826,11826,11826
2021-02-04 21:47:50.265468,79,11826,11826,11826
2021-02-04 21:47:51.435263,79,11826,11826,11826
2021-02-04 21:47:52.215427,79,11826,11826,11826
2021-02-04 21:47:53.385455,79,11826,11826,11826
2021-02-04 21:47:54.555091,79,11826,11826,11826
2021-02-04 21:47:55.335042,79,11826,11826,11826
2021-02-04 21:47:56.505603,79,11826,11826,11826
2021-02-04 21:47:57.285572,79,11826,11826,11826
2021-02-04 21:47:58.845391,79,11826,11826,11826
2021-02-04 21:47:59.235523,79,11826,11826,11826
